Name,EIN,Category,Telephone,Address,City,State,Website,Facebook,Twitter,Income,Assests
david j drakulich art foundation for freedom of expression ,26-1893051,"Arts, Culture and Humanities",N/A, 10450 FORT CHURCHILL RD  89508-8127,reno,Nevada,http://www.arthealswarwounds.com,,,$0.00,$0.00
david friedman private foundation ,26-4582066,"Philanthropy, Voluntarism and Grantmaking Foundations",N/A, 2654 W HORIZON RIDGE PKWY PMB 145  89052-2803,henderson,Nevada,,,,"$156,109.00","$544,539.00"
dayna lynn ahern foundation ,20-5733999,"Philanthropy, Voluntarism and Grantmaking Foundations",N/A, 1401 MINERAL AVE  89106-4342,las vegas,Nevada,,,,"$251,803.00","$218,040.00"
daybreak christian fellowship inc ,86-0861610,"Religion-Related, Spiritual Development",N/A, 7385 PRAIRIE FALCON RD STE 110  89128-0814,las vegas,Nevada,,,,$0.00,$0.00
davis family foundation jeffrey davis ttee,81-6909497,"Philanthropy, Voluntarism and Grantmaking Foundations",N/A, 1621 BROCK CT  89117-1641,las vegas,Nevada,,,,$0.00,$0.00
davidson institute for talent development ,88-0427864,Educational Institutions and Related Activities,N/A, 800 SOUTHWOOD BLVD STE 204  89451-7475,incline,Nevada,,,,"$5,943,873.00","$2,760,151.00"
davidson foundation inc ,88-0453151,"Philanthropy, Voluntarism and Grantmaking Foundations",N/A, 800 SOUTHWOOD BLVD STE 204  89451-7475,incline vlg,Nevada,,,,"$10,002.00","$9,292.00"
david coblentz chapel minyonares inc ,94-2902828,Church synagogue etc,N/A, 1408 S DECATUR BLVD  89102-8511,las vegas,Nevada,,,,$0.00,$0.00
dcs foundation ,45-3142583,Educational Institutions and Related Activities,N/A, 3883 E MESA VISTA AVE  89120-2036,las vegas,Nevada,http://www.dcslvfoundation.org,,,$0.00,$0.00
dazzle africa ,45-4150138,Animal-Related,N/A, 4915 N JULIANO RD  89149-4113,las vegas,Nevada,http://www.dazzleafrica.org,,,"$262,300.00","$54,616.00"
dayton youth soccer club ,45-2717003,"Recreation, Sports, Leisure, Athletics",N/A, PO BOX 1777  89403-1777,dayton,Nevada,,,,$0.00,$0.00
dayton valley dog park ,27-0492776,"Recreation, Sports, Leisure, Athletics",N/A, PO BOX 995  89403-0995,dayton,Nevada,,,,$0.00,$0.00
dayton valley community church of the nazarene ,86-0868644,Church synagogue etc,N/A, PO BOX 1746  89403-1746,dayton,Nevada,,,,$0.00,$0.00
dayton preservation committee ,47-2853230,"Community Improvement, Capacity Building",N/A, PO BOX 1758  89403-1758,dayton,Nevada,,,,$0.00,$0.00
dayton high school quarterback club ,82-4100512,"Recreation, Sports, Leisure, Athletics",N/A, 9695 NAVAJO TRAIL  89429-9606,stagecoach,Nevada,,,,$0.00,$0.00
dayton high school booster club ,41-2229987,"Mutual/Membership Benefit Organizations, Other",N/A, PO BOX 1063  89403-1063,dayton,Nevada,,,,$0.00,$0.00
dayton foursquare church ,88-0466140,Camp,N/A, PO BOX 2420  89403-2420,dayton,Nevada,,,,$0.00,$0.00
dayton comstock bmx inc ,81-2628023,"Recreation, Sports, Leisure, Athletics",N/A, 175 SILVER ST  89403-6724,dayton,Nevada,,,,$0.00,$0.00
daysprings ranch ,88-0486479,Youth Development,N/A, 125 PEBBLE CREEK HTS  89027-5317,mesquite,Nevada,,,,$0.00,$0.00
debre genet medhanealem ethiopian orthodox tewahdo church ,46-5318510,"Religion-Related, Spiritual Development",N/A, 2054 E DESERT INN RD  89169-3289,las vegas,Nevada,,,,$0.00,$0.00
debre bisrat st gabriel ethiopian orthodox tewahdo church ,47-3144285,"Religion-Related, Spiritual Development",N/A, 4598 ASHINGTON ST  89147-6059,las vegas,Nevada,,,,$0.00,$0.00
debra e and warner c lusardi foundation ,30-0015380,"Philanthropy, Voluntarism and Grantmaking Foundations",N/A, 711 S CARSON ST STE 4  89701-5292,carson city,Nevada,,,,"$11,463.00","$2,693,342.00"
debourahs house judaline davis gen ptr,81-4007735,,N/A, 2209 TWISTED OAK AVE  89032-0608,n las vegas,Nevada,,,,$0.00,$0.00
deborah and t j day foundation ,47-4603475,"Philanthropy, Voluntarism and Grantmaking Foundations",N/A, 165 W LIBERTY ST STE 100  89501-1901,reno,Nevada,,,,"$536,631.00","$341,028.00"
debarsy syndrome international ,26-3652694,Human Services - Multipurpose and Other,N/A, 2695 LAGUNA WAY  89434-2619,sparks,Nevada,http://debarsysyndrome.org,,,$0.00,$0.00
dean seeman foundation ,27-2348802,"Philanthropy, Voluntarism and Grantmaking Foundations",N/A, 1512 WILDROSE DR  89410-4115,gardnerville,Nevada,,,,"$325,701.00","$4,302,745.00"
dean la mar allen elementary school parent teacher organization ,26-1163966,Educational Institutions and Related Activities,N/A, 8680 W HAMMER LN  89149-4012,las vegas,Nevada,,,,"$92,144.00","$20,420.00"
dean and gloria smith foundation inc ,20-1663000,"Philanthropy, Voluntarism and Grantmaking Foundations",N/A, 320 JUNIPER HILL RD  89519-2934,reno,Nevada,,,,"$53,732.00","$394,144.00"
deaf centers of nevada dhharc,80-0355751,Human Services - Multipurpose and Other,N/A, 3120 S DURANGO DR STE 301  89117-4454,las vegas,Nevada,,,,"$432,503.00","$116,018.00"
deacon jones foundation ,33-0737187,Educational Institutions and Related Activities,N/A, 4998 CROOKED STICK WAY  89113-0148,las vegas,Nevada,,,,"$78,932.00","$76,451.00"
deliverance through faith-new beginnings ministries new beginnings ministries,27-3552881,"Religion-Related, Spiritual Development",N/A, 2314 E CHEYENNE AVE  89030-8426,n las vegas,Nevada,,,,$0.00,$0.00
dekin educational tr walter dekin ttee,45-6291949,Educational Institutions and Related Activities,N/A, 4525 QUADREL ST  89129-5316,las vegas,Nevada,,,,"$3,921.00","$88,275.00"
deer spring estates water users association ,88-0159283,Mutual ditch irrigation telephone electric company or like organization,N/A, 7220 DEER SPRINGS WAY  89131-3529,las vegas,Nevada,,,,$0.00,$0.00
deep springs free educational trust ,87-0238728,Private school,N/A, HC 72 BOX 45001  89010-9712,dyer,Nevada,,,,$0.00,"$264,361.00"
deep springs corporation ,95-6137481,Unknown,N/A, HC 72 BOX 45001  89010-9712,dyer,Nevada,,,,"$1,531,402.00","$30,645,476.00"
delta education and leadership training academy ,38-3737786,,N/A, 3315 E RUSSELL RDSTE A4  89120-0000,las vegas,Nevada,http://www.deltaed.org,,,"$55,785.00","$10,507.00"
delta delta delta house assn of reno ,88-0028544,Other housing activities,N/A, 480 SNOWMASS CT  89511-8133,reno,Nevada,,,,"$90,393.00","$176,617.00"
deliverance through the word apostolic church inc ,45-4846598,"Religion-Related, Spiritual Development",N/A, PO BOX 750004  89136-0004,las vegas,Nevada,,,,$0.00,$0.00
deep roots christian church ,74-2933682,"Religion-Related, Spiritual Development",N/A, 4161 N RANCHO DR STE 110  89130-3459,las vegas,Nevada,,,,$0.00,$0.00
dedicated women in christ inc dwic,30-0326339,"Religion-Related, Spiritual Development",N/A, 4404 NORTE CIR  89130-5203,las vegas,Nevada,,,,$0.00,$0.00
decoding academy ,47-5028448,Educational Institutions and Related Activities,N/A, 204 W SPEAR ST  89703-4160,carson city,Nevada,,,,"$586,898.00","$135,778.00"
delta kappa gamma society nv nu chapter,88-0150391,,N/A, 800 PIOCHE ST  89701-6149,carson city,Nevada,,,,$0.00,$0.00
delta kappa gamma society nv omicron chapter,74-2896234,,N/A, 217 CASTLE WAY  89445-2639,winnemucca,Nevada,,,,$0.00,$0.00
delta kappa gamma society nv kappa chapter,23-7058107,Other school related activities,N/A, 366 EDGEBROOK DR  89815-5709,spring creek,Nevada,http://kappanv.weebly.com,,,$0.00,$0.00
delta kappa gamma society nv delta chapter,88-6006871,Professional association,N/A, PO BOX 62  89411-0062,genoa,Nevada,,,,$0.00,$0.00
delta kappa gamma society nv beta chapter,88-6006875,Professional association,N/A, PO BOX 150457  89315-0457,ely,Nevada,,,,$0.00,$0.00
delta kappa gamma society international nv lambda chapter,23-7239231,Professional association,N/A, 4455 GIBRALTAR DR  89509-5621,reno,Nevada,http://dkg.org,,,$0.00,$0.00
delta kappa gamma society international nv epsilon chapter,88-6006876,Professional association,N/A, 1528 KIWI LN  89123-0325,las vegas,Nevada,,,,$0.00,$0.00
delta kappa gamma society international nv alpha chapter,88-6005225,Professional association,N/A, 1655 MARLA DR  89509-2323,reno,Nevada,,,,$0.00,$0.00
delta kappa gamma society international nevada state organization,88-6006867,Professional association,N/A, 366 EDGEBROOK DR  89815-5709,spring creek,Nevada,,,,$0.00,$0.00
delta gamma fraternity northern nevada alumnae chapter,88-0404817,Other school related activities,N/A, PO BOX 6647  89450-6647,incline vlg,Nevada,,,,$0.00,$0.00
delta gamma fraternity las vegas alumnae chapter,31-1253824,Other school related activities,N/A, 10660 LAGO CANTINI ST  89141-0452,las vegas,Nevada,,,,$0.00,$0.00
demolay foundation of nevada inc ,94-2699560,Unspecified,N/A, 924 S VIRGINIA ST  89502-2416,reno,Nevada,,,,$0.00,$0.00
deltchev gymnastics booster club inc ,56-2357021,"Public, Society Benefit - Multipurpose and Other",N/A, 9716 S VIRGINIA ST STE 200  89511-4808,reno,Nevada,http://www.deltchevgymnastics.com/booster-club.html,,,$0.00,$0.00
deltchev boys team booster club ,47-4509754,"Recreation, Sports, Leisure, Athletics",N/A, 9616 SOUTH VIRGINIA STREET STE 200  89511-0000,reno,Nevada,,,,$0.00,$0.00
delta zeta sorority northern nevada alumnae chapter,46-5438931,Fraternity or sorority,N/A, 2710 DEL MONTE LN  89511-5504,reno,Nevada,,,,$0.00,$0.00
delta zeta sorority las vegas,46-1906775,Fraternity or sorority,N/A, 1701 CHEDDAR ST  89117-1289,las vegas,Nevada,,,,$0.00,$0.00
delta theta boule foundation ,88-0493175,Educational Institutions and Related Activities,N/A, 3190 WESTWIND RD  89146-6749,las vegas,Nevada,,,,$0.00,$0.00
delta sigma theta sorority tau mu,73-1714111,Fraternity or sorority,N/A, PO BOX 9612  89507-9612,reno,Nevada,,,,$0.00,$0.00
delta sigma theta sorority las vegas alumnae chapter,23-7336639,Fraternity or sorority,N/A, PO BOX 270534  89127-4534,las vegas,Nevada,,,,$0.00,$0.00
delta sigma theta sorority eta chi chapter,23-7086749,Fraternity or sorority,N/A, PO BOX 72763  89170-2763,las vegas,Nevada,,,,$0.00,$0.00
delta kappa gamma society nv xi chapter,88-0198451,Professional association,N/A, 1075 PINERIDGE DR  89509-3629,reno,Nevada,,,,$0.00,$0.00
delta kappa gamma society nv theta chapter,88-6006870,Professional association,N/A, 960 FERRIS LN  89509-2320,reno,Nevada,http://Delta Kappa Gamma Society International Theta Chapter,,,$0.00,$0.00
department of nevada veterans of foreign wars of the u s inc 10047 north las vegas memorial post,88-0103973,"Public, Society Benefit - Multipurpose and Other",N/A, 4337 LAS VEGAS BLVD N  89115-0640,las vegas,Nevada,,,,"$353,361.00","$1,331,290.00"
department of nevada veterans of foreign wars of the u s inc 1002 post,88-0150179,"Public, Society Benefit - Multipurpose and Other",N/A, 405 S MAINE ST  89406-3305,fallon,Nevada,,,,"$163,894.00","$46,358.00"
department of nevada veterans of foreign wars of the u s inc 1 district,80-0584864,"Public, Society Benefit - Multipurpose and Other",N/A, PO BOX 1147  89447-1147,yerington,Nevada,,,,$0.00,$0.00
department of nevada veterans of foreigh wars of the u s inc 243 laughlin post,90-0459312,"Public, Society Benefit - Multipurpose and Other",N/A, 1510 BRUCE WOODBURY DR  89029-1804,laughlin,Nevada,,,,$0.00,$0.00
department of nevada veterans of foreigh wars of the u s inc 2313 john franklin shane post,23-7303613,"Public, Society Benefit - Multipurpose and Other",N/A, PO BOX 2313  89415-2313,hawthorne,Nevada,http://vfwpost2313.org,,,$0.00,$0.00
denton foundation ,45-4313291,Health - General and Rehabilitative,N/A, 318 N CARSON ST STE 208  89701-4269,carson city,Nevada,,,,$0.00,$0.00
demolay international 29027 henderson demolay chapter,46-4150898,Other cultural or historical activities,N/A, 2200 W MESQUITE AVE STE 150  89106-3789,las vegas,Nevada,http://sonevdemolay.org,,,$0.00,$0.00
demolay international 29016 reno chapter order of demolay,90-0516888,Other cultural or historical activities,N/A, 924 S VIRGINIA ST  89502-2416,reno,Nevada,,,,$0.00,$0.00
demolay international 29014 oasis chapter,23-7588461,"Arts, Culture and Humanities",N/A, 2200 W MESQUITE AVE STE 150  89106-3789,las vegas,Nevada,,,,$0.00,$0.00
demolay international 29007 vegas chapter,23-7588462,"Arts, Culture and Humanities",N/A, 632 E CHARLESTON BLVD  89104-1563,las vegas,Nevada,,,,$0.00,$0.00
demolay international 29000 southern nevada demolay,23-7584456,Other cultural or historical activities,N/A, 2200 W MESQUITE AVE STE 150  89106-3789,las vegas,Nevada,http://sonevdemolay.org,,,$0.00,$0.00
department of nevada veterans of foreign wars of the u s inc 3677 gabbs post,80-0591560,"Public, Society Benefit - Multipurpose and Other",N/A, PO BOX 367  89409-0367,gabbs,Nevada,,,,$800.00,$800.00
department of nevada veterans of foreign wars of the u s inc 3630 topaz post,88-0232797,"Public, Society Benefit - Multipurpose and Other",N/A, 3915 WALKER VIEW RD  89444-9321,wellington,Nevada,,,,$0.00,$0.00
department of nevada veterans of foreign wars of the u s inc 3547 james jewell post,88-0172551,"Public, Society Benefit - Multipurpose and Other",N/A, HC 33 BOX 33150  89301-9414,ely,Nevada,,,,"$65,039.00","$18,533.00"
department of nevada veterans of foreign wars of the u s inc 2668 mina,94-2646641,"Public, Society Benefit - Multipurpose and Other",N/A, PO BOX 171  89422-0171,mina,Nevada,,,,$0.00,$0.00
department of nevada veterans of foreign wars of the u s inc 3 district,27-1146906,,N/A, 185 COUNTRY RANCH RD  89408-8666,fernley,Nevada,,,,$0.00,$0.00
department of nevada veterans of foreign wars of the u s inc 3819 truckee meadows post,94-3142752,"Public, Society Benefit - Multipurpose and Other",N/A, PO BOX 40757  89504-4757,reno,Nevada,,,,$0.00,$0.00
department of nevada veterans of foreign wars of the u s inc 3726 kit carson post,88-0095071,"Public, Society Benefit - Multipurpose and Other",N/A, PO BOX 4115  89702-4115,carson city,Nevada,,,,$0.00,$0.00
department of nevada veterans of foreign wars of the u s inc 2350 gasper j salaz post,88-0186977,"Public, Society Benefit - Multipurpose and Other",N/A, PO BOX 1266  89803-1266,elko,Nevada,,,,"$52,267.00","$452,030.00"
department of nevada veterans of foreign wars of the u s inc 2 district,61-1587186,"Public, Society Benefit - Multipurpose and Other",N/A, 666 THISTLE LN  89815-6923,spring creek,Nevada,,,,$0.00,$0.00
department of nevada veterans of foreign wars of the u s inc 12093 john lukac post,27-2843742,"Public, Society Benefit - Multipurpose and Other",N/A, 6440 SKY POINTE DR STE 140 # 355  89131-4048,las vegas,Nevada,http://vfwpost12093.org,,,$0.00,$0.00
department of nevada veterans of foreign wars of the u s inc 10247 washoe lyon memorial post,94-2482403,"Public, Society Benefit - Multipurpose and Other",N/A, PO BOX 1418  89408-1418,fernley,Nevada,mailto:qmpost10247@nv.vfwwebmail.com,,,$0.00,$0.00
department of nevada veterans of foreign wars of the u s inc 9165 gary cole post,88-0222855,"Public, Society Benefit - Multipurpose and Other",N/A, PO BOX 1254  89820-1254,battle mtn,Nevada,,,,$0.00,$0.00
department of nevada veterans of foreign wars of the u s inc 8660 dayton valley post,88-0339753,"Public, Society Benefit - Multipurpose and Other",N/A, PO BOX 1964  89403-1964,dayton,Nevada,,,,$0.00,$0.00
department of nevada veterans of foreign wars of the u s inc 8583 carson valley post,88-0204809,"Public, Society Benefit - Multipurpose and Other",N/A, 1125 LADERA LN  89410-6188,gardnerville,Nevada,,,,$0.00,$0.00
department of nevada veterans of foreign wars of the u s inc 8336 elwood perkins post,20-1364023,"Public, Society Benefit - Multipurpose and Other",N/A, PO BOX 1235  89021-1235,logandale,Nevada,,,,$0.00,$0.00
department of nevada veterans of foreign wars of the u s inc 8084 kermit h neddenriep post,88-0276310,"Public, Society Benefit - Multipurpose and Other",N/A, PO BOX 1147  89447-1147,yerington,Nevada,,,,$0.00,$0.00
department of nevada veterans of foreign wars of the u s inc 8071 evans kendall post,27-3091249,"Public, Society Benefit - Multipurpose and Other",N/A, PO BOX 693  89440-0693,virginia city,Nevada,,,,$0.00,$0.00
department of nevada veterans of foreign wars of the u s inc 7385 virgin valley post,88-0382922,"Public, Society Benefit - Multipurpose and Other",N/A, 840 HAFEN LN  89027-5813,mesquite,Nevada,,,,$0.00,$0.00
department of nevada veterans of foreign wars of the u s inc 7114 hugh jacobson post,30-0527768,"Public, Society Benefit - Multipurpose and Other",N/A, PO BOX 415  89008-0415,caliente,Nevada,,,,$0.00,$0.00
department of nevada veterans of foreign wars of the u s inc 6825 schurz post,51-0166031,"Public, Society Benefit - Multipurpose and Other",N/A, PO BOX 121  89427-0121,schurz,Nevada,,,,$0.00,$0.00
department of nevada veterans of foreign wars of the u s inc 5 district,35-2367420,"Public, Society Benefit - Multipurpose and Other",N/A, 8530 W SAHARA AVE APT 108  89117-1823,las vegas,Nevada,,,,$0.00,$0.00
department of nevada veterans of foreign wars of the u s inc 4 district,27-2019703,"Public, Society Benefit - Multipurpose and Other",N/A, 405 S MAINE ST  89406-3305,fallon,Nevada,,,,$0.00,$0.00
dermody family foundation ,20-1930587,"Philanthropy, Voluntarism and Grantmaking Foundations",N/A, 226 CALIFORNIA AVE  89509-1621,reno,Nevada,,,,"$27,442.00","$12,059.00"
deptartment of nevada veterans of foreign wars of the us inc 12156 red rock post,81-2585112,"Public, Society Benefit - Multipurpose and Other",N/A, 8530 W SAHARA AVE APT 108  89117-1823,las vegas,Nevada,,,,$0.00,$0.00
department of nevada veterans of foreigns of the u s inc 9211 battle born post,94-2911724,"Public, Society Benefit - Multipurpose and Other",N/A, PO BOX 10026  89510-0026,reno,Nevada,,,,"$40,749.00","$363,933.00"
department of nevada veterans of foreign wars of the us inc 12134 vfw post,46-3821455,"Public, Society Benefit - Multipurpose and Other",N/A, 12565 OAK GLEN DR  89511-4736,reno,Nevada,,,,$0.00,$0.00
department of nevada veterans of foreign wars of the us inc 12119 post,45-4348830,"Public, Society Benefit - Multipurpose and Other",N/A, PO BOX 571912  89157-1912,las vegas,Nevada,,,,$0.00,$0.00
dermody properties foundation ,94-3086271,Care and housing of children orphanage etc,N/A, PO BOX 7098  89510-7098,reno,Nevada,,,,"$150,010.00","$5,654.00"
department of nevada veterans of foreign wars of the us inc 12116 high desert post,45-4259465,"Public, Society Benefit - Multipurpose and Other",N/A, PO BOX 2564  89446-2564,winnemucca,Nevada,http://VFW,,,$0.00,$0.00
department of nevada veterans of foreign wars of the us inc 12108 john strozzi post,45-2414622,"Public, Society Benefit - Multipurpose and Other",N/A, 300 W MAIN ST  89003-0000,beatty,Nevada,,,,$0.00,$0.00
department of nevada veterans of foreign wars of the us inc 10468 searlight post,94-2673821,"Public, Society Benefit - Multipurpose and Other",N/A, 1013 SKYSAIL DR  89011-3137,henderson,Nevada,,,,$0.00,$0.00
department of nevada veterans of foreign wars of the united states 12101 matthew h hennigan post,27-4930383,,N/A, 1937 WILLIAMSPORT ST  89052-7115,henderson,Nevada,,,,$0.00,$0.00
department of nevada veterans of foreign wars of the u s inc dept of nevada,88-0055900,Veterans activities,N/A, PO BOX 426  89003-0426,beatty,Nevada,http://vfwnv.com,,,"$145,987.00","$408,434.00"
desert inferno racing team ,14-2007387,Youth Development,N/A, 2560 MUSKET RD  89521-7127,reno,Nevada,,,,$0.00,$0.00
desert hope christian fellowship ,88-0312512,"Religion-Related, Spiritual Development",N/A, 4400 E OWENS AVE TRLR 137  89110-1352,las vegas,Nevada,,,,$0.00,$0.00
desert haven animal society ,81-0707433,Animal-Related,N/A, PO BOX 3233  89041-3233,pahrump,Nevada,,,,"$203,933.00","$13,148.00"
desert dragons ,47-4249405,"Recreation, Sports, Leisure, Athletics",N/A, 1301 RAINBOW MEADOWS DR  89128-0571,las vegas,Nevada,,,,$0.00,$0.00
desert dogs for veterans ,82-0741982,"Public, Society Benefit - Multipurpose and Other",N/A, 2309 BAHAMA POINT AVE  89031-0963,n las vegas,Nevada,,,,$0.00,$0.00
desert divas for dogs ,81-2272049,Animal-Related,N/A, 2734 WOODFLOWER AVE  89052-3848,henderson,Nevada,,,,"$9,343.00","$7,276.00"
desert dames of mesquite ,88-0337889,Other social activities,N/A, PO BOX 3424  89024-3424,mesquite,Nevada,,,,$0.00,$0.00
desert church of christ ,80-0795359,"Religion-Related, Spiritual Development",N/A, PO BOX 1956  89041-1956,pahrump,Nevada,,,,$0.00,$0.00
desert chorale ,88-0227318,,N/A, 980 EVENING DEW DR  89110-2925,las vegas,Nevada,,,,"$42,802.00","$46,490.00"
desert challenge dancesport foundation ,65-1313917,"Arts, Culture and Humanities",N/A, 6524 ROY ROGERS DR  89108-5529,las vegas,Nevada,http://www.desertchalllengedancesport.com,,,$0.00,$0.00
desert bighorn council ,23-7277844,Preservation of natural resources conservation,N/A, 910 AMBROSE DR  89123-0903,las vegas,Nevada,,,,$0.00,$0.00
desert sculptors association ,88-0218286,Art exhibit,N/A, 857 ARMADA PL  89005-2305,boulder city,Nevada,,,,$0.00,$0.00
desert sage educational initiative dba nevada sage waldorf school,88-0451470,Educational Institutions and Related Activities,N/A, 565 REACTOR WAY  89502-4108,reno,Nevada,,,,"$610,426.00","$15,262.00"
desert reign inc ,26-2288858,"Mutual/Membership Benefit Organizations, Other",N/A, PO BOX 231113  89105-1113,las vegas,Nevada,http://www.desertreignfoundation.org,,,"$166,445.00","$36,773.00"
desert ravens booster club ,80-0334820,,N/A, 4250 GRIFFISS AVE  89191-7018,nellis afb,Nevada,,,,$0.00,$0.00
desert quilters of nevada ,88-0282127,"Arts, Culture and Humanities",N/A, PO BOX 26658  89126-0658,las vegas,Nevada,,,,"$82,234.00","$69,947.00"
desert skywalkers ,32-0115007,"Recreation, Sports, Leisure, Athletics",N/A, 345 E WIGWAM AVE  89123-2247,las vegas,Nevada,http://www.desertskywalkers.com,,,$0.00,$0.00
desert orthopaedic research foundation ,88-0281502,Scientific research diseases,N/A, 2800 E DESERT INN RD STE 100  89121-3609,las vegas,Nevada,,,,"$17,649.00","$97,539.00"
desert oasis christian center assembly of god ,88-0298286,Church synagogue etc,N/A, PO BOX 1770  89045-1770,round mtn,Nevada,,,,$0.00,$0.00
desert oasis charity ,82-2433379,Health - General and Rehabilitative,N/A, 2021 S JONES BLVD  89146-3137,las vegas,Nevada,,,,$0.00,$0.00
desert newcomers inc ,05-0611127,"Recreation, Sports, Leisure, Athletics",N/A, 492 HIDDEN GARDEN PL  89012-4575,henderson,Nevada,http://www.desertnewcomersclub.org,,,$0.00,$0.00
desert light of antioch chapel ,88-0334171,"Religion-Related, Spiritual Development",N/A, 6909 CAMPFIRE RD  89145-6207,las vegas,Nevada,,,,$0.00,$0.00
destined for glory world outreach ,20-0368839,,N/A, 6037 S RAINBOW BLVD STE 100  89118-2571,las vegas,Nevada,,,,$0.00,$0.00
destination services association las vegas ,45-5182649,"Community Improvement, Capacity Building",N/A, 1350 E FLAMINGO RD 170  89119-5263,las vegas,Nevada,,,,"$44,046.00","$3,552.00"
desilu too foundation ,94-3389186,"Philanthropy, Voluntarism and Grantmaking Foundations",N/A, 516 AVENUE M  89005-2831,boulder city,Nevada,,,,$1.00,"$26,884.00"
designers church inc ,46-3880071,"Religion-Related, Spiritual Development",N/A, 9371 GRACEFUL GOLD ST  89123-3887,las vegas,Nevada,,,,$0.00,$0.00
designated drivers foundation inc ,33-1206008,"Public Safety, Disaster Preparedness and Relief",N/A, 671 PROFESSIONAL AVE STE 515  89015-6613,henderson,Nevada,,,,"$24,035.00","$1,200.00"
desert wetlands conservancy ,88-0357221,"Environmental Quality, Protection and Beautification",N/A, PO BOX 93574  89193-3574,las vegas,Nevada,,,,$0.00,$0.00
desert valley academy inc ,83-0457187,Educational Institutions and Related Activities,N/A, 401 GRAND AUGUSTA LN  89144-4300,las vegas,Nevada,,,,$0.00,$0.00
desert valley academy foundation ,26-1528908,"Philanthropy, Voluntarism and Grantmaking Foundations",N/A, 401 GRAND AUGUSTA LN  89144-4300,las vegas,Nevada,,,,$0.00,$0.00
desert springs hospital auxiliary inc ,88-0140433,Health - General and Rehabilitative,N/A, 2075 E FLAMINGO RD  89119-5188,las vegas,Nevada,,,,"$113,421.00","$184,623.00"
desert spring united methodist church ,88-0276371,Church synagogue etc,N/A, 120 N PAVILION CENTER DR  89144-4009,las vegas,Nevada,,,,$0.00,$0.00
desert sportsmans rifle and pistol club inc ,88-0229448,Training in sports,N/A, 12201 W CHARLESTON BLVD  89135-1513,las vegas,Nevada,,,,"$355,401.00","$598,579.00"
dhx group inc ,45-5598684,Health - General and Rehabilitative,N/A, 11700 W CHARLESTON BLVD STE 170-31  89135-1575,las vegas,Nevada,http://www.digitalhealthx.com,,,"$122,701.00","$191,548.00"
dharmakaya buddhist center of reno inc ,47-4484817,"Religion-Related, Spiritual Development",N/A, 6165 RIDGEVIEW CT STE G  89519-6332,reno,Nevada,,,,$0.00,$0.00
dharma zephyr insight meditation community ,88-0423506,Educational Institutions and Related Activities,N/A, PO BOX 4401  89702-4401,carson city,Nevada,http://dharmazephyr.org,,,$0.00,$0.00
developing gardens & family farming ,45-5061227,"Environmental Quality, Protection and Beautification",N/A, PO BOX 50452  89016-0452,henderson,Nevada,,,,$0.00,$0.00
deutsch american society nevada ,88-0201084,Commemorative event centennial festival pageant etc,N/A, 1024 TRIUMPHANT ST  89052-3918,henderson,Nevada,,,,$0.00,$0.00
detroit connection inc ,31-1775472,Educational Institutions and Related Activities,N/A, PO BOX 336434  89033-6434,n las vegas,Nevada,,,,$0.00,$0.00
destwolinski family foundation ,47-0812539,"Philanthropy, Voluntarism and Grantmaking Foundations",N/A, 9103 ALTA DR UNIT 901  89145-8555,las vegas,Nevada,,,,"$39,468.00","$1,768,645.00"
destiny worship center inc ,88-0401858,"Religion-Related, Spiritual Development",N/A, PO BOX 336468  89033-6468,n las vegas,Nevada,,,,$0.00,$0.00
destiny temple ,27-4200364,Human Services - Multipurpose and Other,N/A, 1325 MOUNT AUGUSTA CT  89117-7512,las vegas,Nevada,,,,$0.00,$0.00
destiny christian center ,88-0487876,"Religion-Related, Spiritual Development",N/A, 6210 W CHEYENNE AVE  89108-4307,las vegas,Nevada,,,,$0.00,$0.00
destiny center ,45-0487544,Church synagogue etc,N/A, PO BOX 33220  89533-3220,reno,Nevada,,,,$0.00,$0.00
diocesis de cristo rey diocesis de cristo rey,26-3655394,,N/A, 4775 HAPPY VALLEY AVE  89121-7121,las vegas,Nevada,,,,"$117,555.00","$200,482.00"
dinuba hispanic foursquare church ,80-0959340,Camp,N/A, 5833 ALISA ROBERTS ST  89081-4410,n las vegas,Nevada,,,,$0.00,$0.00
dinosaurs and roses ,46-2441704,Unknown,N/A, 7310 SMOKE RANCH RD  89128-0258,las vegas,Nevada,,,,"$1,541,964.00",$0.00
dimond l ranch ,46-4355187,Animal-Related,N/A, 1329 HWY 395 STE 10-134  89410-7327,gardnerville,Nevada,,,,$0.00,$0.00
diane marie brogan foundation ,47-5638794,Health - General and Rehabilitative,N/A, 5255 LONGLEY LN STE 101  89511-5200,reno,Nevada,,,,$0.00,$0.00
dirienzo foundation inc ,31-1393435,"Philanthropy, Voluntarism and Grantmaking Foundations",N/A, 4735 S SADDLEHORN DR  89511-6756,reno,Nevada,,,,"$2,001.00","$239,644.00"
diana initiative inc tiaracon,82-2173128,"Science and Technology Research Institutes, Services",N/A, 8465 W SAHARA AVE STE 111 # 585  89117-8902,las vegas,Nevada,,,,$0.00,$0.00
diamond resorts international foundation ,46-3111367,"Philanthropy, Voluntarism and Grantmaking Foundations",N/A, 10600 W CHARLESTON BLVD  89135-1014,las vegas,Nevada,,,,"$364,879.00","$137,033.00"
